"","parent","child","pvalue"
"462","YBX1","PA2G4",0.740181520133613
"463","YBX1","NDUFS5",0.108600321620187
"464","YBX1","APOC1",0.235457554869364
"465","YBX1","EIF4A1",0.825123501437854
"466","YBX1","PFN1",0.0977343754486167
"467","YBX1","SDF2L1",0.0030439383360358
"468","YBX1","LDHB",0.386124213880145
"469","YBX1","HIST1H1E",0.586719754023177
"470","YBX1","TUBA1C",0.718091537042971
"471","YBX1","SLC25A3",0.00984157435107085
"472","YBX1","CFL1",0.00459268551553477
"473","YBX1","ATP5F1E",0.00656944028193357
"474","YBX1","COX4I1",0.0170149677478791
"475","YBX1","EIF5A",0.00905436008088779
"476","YBX1","HMGN1",0.0009783657830813
"477","YBX1","CLIC1",0.0649192090752874
"478","YBX1","STMN1",0.321094570905058
"479","YBX1","CCT5",0.466638875875993
"480","YBX1","NDUFC2",0.0744163027069219
"481","YBX1","HSP90B1",0.555630568701096
"482","YBX1","UBE2S",0.0901793516066698
"483","YBX1","ATP5F1B",0.105668973672321
"484","YBX1","TOMM20",2.9136831528438e-05
"485","YBX1","SUB1",0.0491772406238098
"486","YBX1","CCT3",0.523929733703777
"487","YBX1","HNRNPC",0.823676053782819
"488","YBX1","PRAME",0.000817722050848429
"489","YBX1","CENPF",0.243711670461431
"490","YBX1","SFPQ",0.15320766674395
"491","YBX1","NME1",0.000390896391685185
"492","YBX1","ATP5F1D",0.561603338475241
"493","YBX1","HSPA5",0.0892378038984976
"494","YBX1","PTGES3",0.00885665868549001
"495","YBX1","NASP",0.983665414783489
"496","YBX1","ATP5PF",0.67630714475174
"497","YBX1","LDHA",0.635695796466543
"498","YBX1","CCT8",0.927983921549
"499","YBX1","CALR",0.44048876648453
"500","YBX1","GPX4",0.161038603066121
"501","HBG2","EEF1A1",0.677698020028662
"502","HBG2","FTL",0.357136328394823
"503","HBG2","NPM1",0.708056812082415
"504","HBG2","FTH1",0.258036898300965
"505","HBG2","YBX1",0.640549720987805
"506","HBG2","HBG2",2.76363038254718e-57
"507","HBG2","RACK1",0.706233425523588
"508","HBG2","PTMA",0.000800551826394684
"509","HBG2","TPT1",0.583885099046358
"510","HBG2","HSP90AB1",0.942965021417726
"511","HBG2","HBZ",0.113988071391042
"512","HBG2","RANBP1",0.429312321522819
"513","HBG2","GAPDH",0.854893339159921
"514","HBG2","HIST1H4C",0.571195221515066
"515","HBG2","GSTP1",0.00645323321422699
"516","HBG2","ACTB",0.7846026181047
"517","HBG2","TUBA1B",0.146595404502326
"518","HBG2","GP1BB",0.283121908784436
"519","HBG2","UQCRH",0.578940536098222
"520","HBG2","H3F3A",0.0226917769547587
"521","HBG2","NCL",0.00143298938066694
"522","HBG2","UBA52",0.259825383709466
"523","HBG2","NACA",0.844395374431346
"524","HBG2","HSPD1",0.671888986456585
"525","HBG2","HSP90AA1",0.538388124807629
"526","HBG2","HIST1H1C",0.00109849068912175
"527","HBG2","EEF1G",0.806977046928255
"528","HBG2","EEF1B2",0.574842114936683
"529","HBG2","EEF2",0.967152231112388
"530","HBG2","APOE",0.210022831577258
"531","HBG2","FAU",0.966050572777843
"532","HBG2","PRDX1",0.596120607838569
"533","HBG2","HMGB1",0.002275105787592
"534","HBG2","VIM",0.60009947301483
"535","HBG2","SET",0.10087148045667
"536","HBG2","H2AFZ",0.63611780491516
"537","HBG2","TUBB",0.340073603513471
"538","HBG2","RAN",0.0390476131302422
"539","HBG2","HNRNPA2B1",0.606804528482188
"540","HBG2","CHCHD2",0.312286393684142
"541","HBG2","PPIA",0.970381259282481
"542","HBG2","OAZ1",0.277920277464281
"543","HBG2","ENO1",0.48687920402609
"544","HBG2","BTF3",0.200514566768568
"545","HBG2","HSPA8",0.389082439801113
"546","HBG2","ACTG1",0.750381724254989
"547","HBG2","MIF",0.89850900181804
"548","HBG2","TMSB4X",0.184072096587919
"549","HBG2","HNRNPA1",0.369600055355032
"550","HBG2","EIF1",0.949346868550427
"551","HBG2","HINT1",0.981143766943281
"552","HBG2","HMGA1",0.530354025834346
"553","HBG2","ANP32B",0.0230497723020441
"554","HBG2","HSPE1",0.24377647421496
"555","HBG2","ATP5MC3",0.910518435673239
"556","HBG2","SERBP1",0.412435602463387
"557","HBG2","H3F3B",0.232533828341501
"558","HBG2","PABPC1",0.313786053976781
"559","HBG2","HNRNPU",0.116335734020757
"560","HBG2","HBG1",1.95613052668937e-36
"561","HBG2","UBE2L3",0.217814673443726
"562","HBG2","PA2G4",0.0543445782760559
"563","HBG2","NDUFS5",0.914904261782211
"564","HBG2","APOC1",0.318490496355484
"565","HBG2","EIF4A1",0.898106303843632
"566","HBG2","PFN1",0.612347634290581
"567","HBG2","SDF2L1",0.162637252545892
"568","HBG2","LDHB",0.554560930797638
"569","HBG2","HIST1H1E",0.774529048010621
"570","HBG2","TUBA1C",0.461156252706648
"571","HBG2","SLC25A3",0.762619304124495
"572","HBG2","CFL1",0.247531211518079
"573","HBG2","ATP5F1E",0.970452172864213
"574","HBG2","COX4I1",0.13677483698495
"575","HBG2","EIF5A",0.0132322394637121
"576","HBG2","HMGN1",0.0301448652800751
"577","HBG2","CLIC1",0.252204630710135
"578","HBG2","STMN1",0.297902561116153
"579","HBG2","CCT5",0.310023206757649
"580","HBG2","NDUFC2",0.601950777336248
"581","HBG2","HSP90B1",0.17371277110721
"582","HBG2","UBE2S",0.846038094985761
"583","HBG2","ATP5F1B",0.181271223089631
"584","HBG2","TOMM20",0.300102949985297
"585","HBG2","SUB1",0.965657970804763
"586","HBG2","CCT3",0.743737814929746
"587","HBG2","HNRNPC",0.447682354402094
"588","HBG2","PRAME",0.741700321978843
"589","HBG2","CENPF",0.116730374665037
"590","HBG2","SFPQ",0.113585892827923
"591","HBG2","NME1",0.777746580144079
"592","HBG2","ATP5F1D",0.481410377897115
"593","HBG2","HSPA5",0.0713293413197775
"594","HBG2","PTGES3",0.465382221258865
"595","HBG2","NASP",0.468021052499453
"596","HBG2","ATP5PF",0.279346572460468
"597","HBG2","LDHA",0.693791884048196
"598","HBG2","CCT8",0.0563098258487387
"599","HBG2","CALR",0.125722428695272
"600","HBG2","GPX4",0.872447993927531
"601","RACK1","EEF1A1",0.0363053765691468
"602","RACK1","FTL",3.99019899967422e-31
"603","RACK1","NPM1",4.01949494436216e-06
"604","RACK1","FTH1",2.45423641890672e-12
"605","RACK1","YBX1",8.20996910773742e-11
"606","RACK1","HBG2",0.00455343100115445
"607","RACK1","RACK1",3.36459566826112e-189
"608","RACK1","PTMA",0.476652744907596
"609","RACK1","TPT1",1.93761732757534e-11
"610","RACK1","HSP90AB1",0.00311165336769162
"611","RACK1","HBZ",0.0124615589231149
"612","RACK1","RANBP1",7.92162375777725e-05
"613","RACK1","GAPDH",1.04289563248438e-05
"614","RACK1","HIST1H4C",0.855207888981836
"615","RACK1","GSTP1",0.128454854149853
"616","RACK1","ACTB",0.662422384078762
"617","RACK1","TUBA1B",8.37933795198816e-10
"618","RACK1","GP1BB",0.0312088874446976
"619","RACK1","UQCRH",8.64131267184465e-08
"620","RACK1","H3F3A",0.231383681271861
"621","RACK1","NCL",0.694622653290639
"622","RACK1","UBA52",0.751049470780789
"623","RACK1","NACA",0.0565241912950583
"624","RACK1","HSPD1",0.211124674547052
"625","RACK1","HSP90AA1",0.246872979021668
